policy_n,policy_alias,policy_industry,policy_d0,rel_day,pub_date,article_count,provider_count,max_provider_share,diffusion,active_article_count,pred_support_count,pred_contradict_count,pred_neutral_count,PTEI_sum,PTEI_mean,Contradiction_sum,Contradiction_mean,NP_support_total,NP_contradict_total,C1_gate_count,C1_PTEI_sum,C1_PTEI_mean,C1_NP_support,C1_Contradiction_sum,C1_Contradiction_mean,C1_NP_contradict,C2_gate_count,C2_PTEI_sum,C2_PTEI_mean,C2_NP_support,C2_Contradiction_sum,C2_Contradiction_mean,C2_NP_contradict,C3_gate_count,C3_PTEI_sum,C3_PTEI_mean,C3_NP_support,C3_Contradiction_sum,C3_Contradiction_mean,C3_NP_contradict,C4_gate_count,C4_PTEI_sum,C4_PTEI_mean,C4_NP_support,C4_Contradiction_sum,C4_Contradiction_mean,C4_NP_contradict,C5_gate_count,C5_PTEI_sum,C5_PTEI_mean,C5_NP_support,C5_Contradiction_sum,C5_Contradiction_mean,C5_NP_contradict,C6_gate_count,C6_PTEI_sum,C6_PTEI_mean,C6_NP_support,C6_Contradiction_sum,C6_Contradiction_mean,C6_NP_contradict
1,반도체 빅딜,반도체,1999-04-29,-20,1999-04-09,34,15,0.147059,0.852941,7,1,2,31,1.680909,0.049439,2.766860,0.081378,0.149922,0.246780,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.494414,0.014542,0.044097,1.023979,0.030117,0.091330,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,1.186494,0.034897,0.105825,1.742881,0.051261,0.155450
1,반도체 빅딜,반도체,1999-04-29,-19,1999-04-10,19,13,0.157895,0.842105,6,5,0,14,2.876453,0.151392,1.935349,0.101860,0.381921,0.256966,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.256083,0.013478,0.034001,0.293600,0.015453,0.038983,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,2.620370,0.137914,0.347919,1.641749,0.086408,0.217983
1,반도체 빅딜,반도체,1999-04-29,-18,1999-04-11,1,1,1.000000,0.000000,0,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,-17,1999-04-12,22,11,0.181818,0.818182,6,5,1,16,5.974600,0.271573,2.440492,0.110931,0.696694,0.284584,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,2.046161,0.093007,0.238601,0.685184,0.031145,0.079899,4,1.882280,0.085558,0.219491,1.070124,0.048642,0.124786,3,2.046161,0.093007,0.238601,0.685184,0.031145,0.079899
1,반도체 빅딜,반도체,1999-04-29,-16,1999-04-13,19,14,0.210526,0.789474,7,6,0,13,3.625816,0.190832,2.706244,0.142434,0.451329,0.336864,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.578286,0.030436,0.071983,0.521419,0.027443,0.064904,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7,3.047529,0.160396,0.379345,2.184826,0.114991,0.271959
1,반도체 빅딜,반도체,1999-04-29,-15,1999-04-14,27,14,0.185185,0.814815,7,6,1,20,4.301977,0.159332,3.184824,0.117956,0.432608,0.320267,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.671246,0.024861,0.067501,0.803142,0.029746,0.080764,2,0.872638,0.032320,0.087753,0.703818,0.026067,0.070776,6,2.758094,0.102152,0.277355,1.677865,0.062143,0.168727
1,반도체 빅딜,반도체,1999-04-29,-14,1999-04-15,42,17,0.142857,0.857143,5,1,1,40,1.636983,0.038976,1.114178,0.026528,0.125653,0.085523,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.437171,0.010409,0.033557,0.425270,0.010125,0.032643,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,1.199811,0.028567,0.092097,0.688908,0.016403,0.052880
1,반도체 빅딜,반도체,1999-04-29,-13,1999-04-16,21,15,0.142857,0.857143,2,2,0,19,1.340464,0.063832,0.472477,0.022499,0.169120,0.059610,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.329877,0.015708,0.041619,0.212155,0.010103,0.026767,2,1.010586,0.048123,0.127501,0.260323,0.012396,0.032844
1,반도체 빅딜,반도체,1999-04-29,-12,1999-04-17,30,16,0.166667,0.833333,6,3,1,26,3.655623,0.121854,2.362150,0.078738,0.348705,0.225322,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,1.009756,0.033659,0.096319,0.371842,0.012395,0.035469,1,0.264469,0.008816,0.025227,0.263438,0.008781,0.025129,6,2.381398,0.079380,0.227158,1.726869,0.057562,0.164724
1,반도체 빅딜,반도체,1999-04-29,-11,1999-04-18,5,2,0.800000,0.200000,0,0,0,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,-10,1999-04-19,52,21,0.096154,0.903846,14,10,1,41,7.984721,0.153552,3.061386,0.058873,0.551028,0.211267,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.336925,0.006479,0.023251,0.206819,0.003977,0.014273,2,1.586549,0.030511,0.109488,0.197542,0.003799,0.013632,12,6.061248,0.116562,0.418288,2.657024,0.051097,0.183362
1,반도체 빅딜,반도체,1999-04-29,-9,1999-04-20,63,22,0.095238,0.904762,17,11,3,49,10.186257,0.161687,4.444640,0.070550,0.608394,0.265465,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.290836,0.004616,0.017371,0.376370,0.005974,0.022479,3,1.771009,0.028111,0.105777,0.531415,0.008435,0.031740,17,8.124411,0.128959,0.485246,3.536854,0.056141,0.211246
1,반도체 빅딜,반도체,1999-04-29,-8,1999-04-21,29,14,0.137931,0.862069,2,0,1,28,0.811241,0.027974,1.174229,0.040491,0.082021,0.118721,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.458381,0.015806,0.046345,0.732508,0.025259,0.074061,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.352859,0.012168,0.035676,0.441721,0.015232,0.044661
1,반도체 빅딜,반도체,1999-04-29,-7,1999-04-22,56,20,0.160714,0.839286,13,5,3,48,6.448994,0.115161,4.859862,0.086783,0.390772,0.294479,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,3.652136,0.065217,0.221298,2.241494,0.040027,0.135822,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9,2.796857,0.049944,0.169473,2.618366,0.046757,0.158658
1,반도체 빅딜,반도체,1999-04-29,-6,1999-04-23,78,23,0.115385,0.884615,20,8,7,63,8.320736,0.106676,6.629193,0.084990,0.412333,0.328509,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9,4.209179,0.053964,0.208585,2.261018,0.028987,0.112044,3,0.994661,0.012752,0.049290,0.979533,0.012558,0.048541,10,3.116896,0.039960,0.154457,3.388640,0.043444,0.167924
1,반도체 빅딜,반도체,1999-04-29,-5,1999-04-24,67,21,0.119403,0.880597,15,10,4,53,6.219923,0.092835,4.721671,0.070473,0.344944,0.261854,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,3.532898,0.052730,0.195927,2.878191,0.042958,0.159619,2,0.485284,0.007243,0.026913,0.628601,0.009382,0.034861,5,2.201741,0.032862,0.122104,1.214879,0.018133,0.067375
1,반도체 빅딜,반도체,1999-04-29,-4,1999-04-25,4,1,1.000000,0.000000,0,0,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,반도체 빅딜,반도체,1999-04-29,-3,1999-04-26,27,15,0.185185,0.814815,7,4,1,22,3.722253,0.137861,1.773953,0.065702,0.374311,0.178389,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.385993,0.014296,0.038816,0.430606,0.015948,0.043302,4,1.835193,0.067970,0.184548,0.965166,0.035747,0.097057,3,1.501067,0.055595,0.150948,0.378181,0.014007,0.038030
